Link_ID,Link_Desc
7581, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BURKE ROAD
7682, MONASH FREEWAY btwn Bourke Rd & High St
7994, MONASH FREEWAY btwn WARRIGAL ROAD & MONASH FREEWAY Onramp
8726, MONASH FREEWAY btwn Blackburn Rd & Forster Rd
310, MONASH FREEWAY btwn SOUTH GIPPSLAND FREEWAY & MONASH FREEWAY Offramp
343, MONASH FREEWAY btwn MONASH FREEWAY Onramp & MONASH FREEWAY Offramp
365, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BELGRAVE-HALLAM ROAD
420, MONASH FREEWAY btwn MONASH FREEWAY Offramp & NARRE WARREN NORTH ROAD
841, WARRNAMBOOL-MORTLAKE ROAD btwn REDDIE ROAD & CONHEADYS ROAD
891, MAINDAMPLE-BENALLA ROAD btwn MIDLAND HIGHWAY & MAROONDAH HIGHWAY
956, FERRIS ROAD btwn WESTERN FREEWAY & WESTERN FREEWAY
958, FERRIS ROAD btwn WESTERN HIGHWAY Offramp & KEILOR-MELTON ROAD
1032, KEILOR-MELTON ROAD btwn KINGS ROAD & SUNSHINE AVENUE
1053, LOWER DANDENONG ROAD btwn WARREN ROAD & BOUNDARY ROAD
1166, NORTH ROAD btwn KOOYONG ROAD & HAWTHORN ROAD
1222, NORTH ROAD btwn TUCKER ROAD & KOORNANG ROAD
1277, NORTH ROAD btwn NORTH ROAD & HUNTINGDALE ROAD
1283, NORTH ROAD btwn HUNTINGDALE ROAD & HUNTINGDALE ROAD
1305, NORTH ROAD btwn CLAYTON ROAD & DANDENONG ROAD
1402, WARRIGAL ROAD btwn SOUTH ROAD & COCHRANES ROAD
1413, WARRIGAL ROAD btwn COCHRANES ROAD & KEYS ROAD
1422, WARRIGAL ROAD btwn CENTRE DANDENONG ROAD & NEPEAN HIGHWAY
1470, HODDLE STREET btwn ALEXANDRA PARADE & JOHNSTON STREET
1502, HODDLE STREET btwn ALBERT STREET & FREEMAN STREET
1536, PUNT ROAD btwn SOUTHERN LINK TOLLWAY & SOUTHERN LINK TOLLWAY Offramp
1537, PUNT ROAD btwn SOUTHERN LINK TOLLWAY Offramp & SOUTHERN LINK TOLLWAY Onramp
1570, PUNT ROAD btwn ALEXANDRA AVENUE & DOMAIN ROAD
1579, PUNT ROAD btwn DOMAIN ROAD & TOORAK ROAD
1595, PUNT ROAD btwn COMMERCIAL ROAD & GREVILLE STREET
1637, STUD ROAD btwn FERNTREE GULLY ROAD & KELLETTS ROAD
1658, STUD ROAD btwn WELLINGTON ROAD & BERGINS ROAD
1669, STUD ROAD btwn BERGINS ROAD & BRADY ROAD
2267, STUD ROAD btwn DAVID STREET & CLOW STREET
2742, FRANKSTON-DANDENONG ROAD btwn THOMPSON ROAD & WEDGE ROAD
3024, WARBURTON HIGHWAY btwn WARBURTON HIGHWAY & VICTORIA ROAD
3073, WARBURTON HIGHWAY btwn MONBULK-SEVILLE ROAD & HEALESVILLE-KOO WEE RUP ROAD
3117, WARBURTON HIGHWAY btwn DON ROAD & BARAK DRIVE
3148, WARBURTON HIGHWAY btwn UNNAMED & UNNAMED
3370, FRANCIS STREET btwn WILLIAMSTOWN ROAD & HYDE STREET
3381, WHITEHALL STREET btwn FRANCIS STREET & SOMERVILLE ROAD
3414, MORELAND STREET btwn MORELAND STREET & FOOTSCRAY ROAD
3447, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY & WESTERN LINK TOLLWAY Onramp
3458, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY Onramp & WESTERN LINK TOLLWAY
3480, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY & WESTERN LINK TOLLWAY Onramp
3491, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY Onramp & UNNAMED
3637, PLENTY ROAD btwn METROPOLITAN RING ROAD Offramp & SETTLEMENT ROAD
3704, ALBERT STREET btwn TYLER STREET & WOOD STREET
3725, ALBERT STREET btwn MURRAY ROAD & GOWER STREET
3850, SHAKESPEARE STREET btwn PRINCES STREET & PRINCES STREET
3883, SHAKESPEARE STREET btwn HYLAND HIGHWAY & DUNBAR ROAD
