Monitoring type,Site name,Latitude,Longitude,Reource label,Start date,End date,Near real-time period,Period type,Update frequency,Resource Url,Website Url
Air quality,Abbot Point,-19.9496,148.0482,2012 data,12/10/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/a7373aa8-43dc-4ef5-8ef2-ab7e6046aa8a,
Air quality,Abbot Point,-19.9496,148.0482,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/b0dcbd81-1e5f-40c8-b6b7-f8437818a36b,
Air quality,Abbot Point,-19.9496,148.0482,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/a81010e8-6102-4033-9677-b990d268f260,
Air quality,Abbot Point,-19.9496,148.0482,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/d87450aa-5531-4f75-8897-b8f5b69824c5,
Air quality,Abbot Point,-19.9496,148.0482,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/606352cc-bf81-4e6f-a74e-e9b9374e17cf,
Air quality,Abbot Point,-19.9496,148.0482,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/49152c0d-a3f3-478b-8f06-6a781fb8e75d,
Air quality,Abbot Point,-19.9496,148.0482,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,
Air quality,Aldoga,-23.8403,151.0628,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/b6ea7404-126a-47ff-9b99-94e83bd1a8bc,
Air quality,Aldoga,-23.8403,151.0628,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/c5f26fd4-bbcf-4c7e-9581-2bef7e538ffa,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#aldoga
Air quality,Aldoga,-23.8403,151.0628,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/eee60057-1a95-4ede-b750-e984cb93a9a6,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#aldoga
Air quality,Aldoga,-23.8403,151.0628,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/4fb4c8b3-70e7-4b24-be4b-0650bf6c35b4,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#aldoga
Air quality,Aldoga,-23.8403,151.0628,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/b0d94d45-2a7b-4543-a445-360cbf515ae1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#aldoga
Air quality,Aldoga,-23.8403,151.0628,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/4636ab58-e2d0-403b-9730-f7f7f603a656,
Air quality,Aldoga,-23.8403,151.0628,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/b65464ae-76d8-43b1-9a23-f1b74ac9e3a4,
Air quality,Aldoga,-23.8403,151.0628,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/e1ac51b4-1e48-4cfe-ac81-d18027274272,
Air quality,Aldoga,-23.8403,151.0628,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,
Air quality,Arundel,-27.9441,153.3656,2010 data,28/10/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/2450c69b-9d53-4400-a62c-dcf38c4f74d6,
Air quality,Arundel,-27.9441,153.3656,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/b54227d7-b7d8-4aff-a03d-b533a3473597,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#history
Air quality,Arundel,-27.9441,153.3656,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/bfd2bc96-97f6-4340-8da9-8e96c9342c2a,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#history
Air quality,Auckland Point,-23.8351,151.2539,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/0a9b6f76-d3a6-44ae-80dd-feef5855eb4b,
Air quality,Auckland Point,-23.8351,151.2539,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/7f5409d5-d085-4e93-abdb-937e1bf544b4,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#cbd
Air quality,Auckland Point,-23.8351,151.2539,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/da09a235-5f39-44d1-86ef-c9bd89b02b3b,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#cbd
Air quality,Auckland Point,-23.8351,151.2539,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/598a71e6-48fe-4b80-b173-f582579de6fd,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#cbd
